ack_id,plan_name_clean,sponsor_name,amt_mutual_funds,staged_total,gap_amt,gap_pct
20251010154210NAL0018416834001,CHILDREN'S HOSPITAL AND HEALTH SYSTEM SHARED RETIREMENT SAVINGS PLAN,"CHILDREN'S HOSPITAL AND HEALTH SYSTEM, INC.",937042279.00,0.00,937042279.00,100.00
20260716151819NAL0005896864001,"SAVINGS PLUS PLAN, LAM RESEARCH 401(K)",LAM RESEARCH CORPORATION,925338719.00,0.00,925338719.00,100.00
20251012112733NAL0000092819001,SAINT LUKE'S 403(B) PLAN,SAINT LUKE'S HEALTH SYSTEM,919158882.00,0.00,919158882.00,100.00
20251006164519NAL0006985280001,"MARSH & MCLENNAN COMPANIES, INC. MASTER RETIREMENT SAVINGS TRUST","MARSH & MCLENNAN COMPANIES, INC.",915751537.00,0.00,915751537.00,100.00
20250922150650NAL0002203571001,SECTION 403(B) DEFINED CONTRIBUTION PLAN FOR TAX-EXEMPT COLLEGES AND UNIVERSITIES IN VIRGINIA,THE GOVERNING COMMITTEE OF THE SECTION 403(B) DEFINED CONTRIBUTION,944964649.00,36018350.00,908946299.00,96.00
20251001123631NAL0013215265001,ARCONIC CORP. 401(K) PLANS MASTER TRUST,ARCONIC CORPORATION,907105485.00,0.00,907105485.00,100.00
20251012205824NAL0000517729001,HENRY FORD HEALTH SYSTEM HERITAGE 403(B) PLAN,HENRY FORD HEALTH SYSTEM,1388974081.00,497532943.00,891441138.00,64.00
20250919104203NAL0002173521001,MOLSON COORS EMPLOYEES' RETIREMENT AND SAVINGS PLAN,MOLSON COORS BEVERAGE COMPANY USA LLC,884019557.00,884019.00,883135538.00,100.00
20251008130018NAL0005876449001,BROWN UNIVERSITY DEFINED CONTRIBUTION LEGACY RETIREMENT PLAN,BROWN UNIVERSITY,1002976594.00,121806101.00,881170493.00,88.00
20251015090950NAL0002064595001,"ZF NORTH AMERICA, INC. 401(K) SAVINGS PLAN","ZF NORTH AMERICA, INC.",866218062.00,0.00,866218062.00,100.00
20251007173250NAL0005126097001,"PARKVIEW HEALTH SYSTEM, INC. 403(B) PLAN","PARKVIEW HEALTH SYSTEM, INC.",851526920.00,0.00,851526920.00,100.00
20260714115305NAL0001810528001,CAPE COD HEALTHCARE 403(B) PARTNERSHIP PLAN,CAPE COD HEALTHCARE,849317898.00,0.00,849317898.00,100.00
20251014105525NAL0001265251001,MARRIOTT VACATIONS WORLDWIDE CORP. 401(K),MARRIOTT VACATIONS WORLDWIDE CORP.,848804213.00,0.00,848804213.00,100.00
20251009124557NAL0015541122001,"MAXIMUS, INC. 401(K) PLAN","MAXIMUS, INC.",848244159.00,0.00,848244159.00,100.00
20260706153735NAL0018570993001,"ONE GAS, INC. 401(K) PLAN","ONE GAS, INC.",846945000.00,0.00,846945000.00,100.00
20250826205353NAL0015578800001,"ASPIRUS, INC. RETIREMENT PLAN","ASPIRUS, INC.",843551696.00,0.00,843551696.00,100.00
20251015162643NAL0005417233001,BOEHRINGER INGELHEIM USA CORPORATION MASTER INVESTMENT TRUST,BOEHRINGER INGELHEIM USA CORPORATION,840800980.00,0.00,840800980.00,100.00
20260713154453NAL0000411313001,CRH AMERICAS 401(K) PLAN,"CRH AMERICAS, INC.",831210690.00,0.00,831210690.00,100.00
20260713233026NAL0000570163001,RENESAS ELECTRONICS AMERICA INC. 401(K) PLAN,RENESAS ELECTRONICS AMERICA INC.,828050671.00,0.00,828050671.00,100.00
20251009185745NAL0007452353001,HONOR HEALTH 403(B) RETIREMENT SECURITY PLAN,HONORHEALTH,973239381.00,146614816.00,826624565.00,85.00
20260409164926NAL0021897058001,ILWU-PMA SAVINGS (401(K)) PLAN,PACIFIC MARITIME ASSOCIATION,824405870.00,0.00,824405870.00,100.00
20250715090357NAL0001184387001,PRESBYTERIAN HEALTHCARE SERVICES 403(B) PLAN,PRESBYTERIAN HEALTHCARE SERVICES,904086154.00,81636103.00,822450051.00,91.00
20251008130222NAL0009448880001,BROWN UNIVERSITY DEFINED CONTRIBUTION DEFERRED VESTING RETIREMENT PLAN,BROWN UNIVERSITY,875046877.00,53813787.00,821233090.00,94.00
20251013095841NAL0000978929001,"SUSQUEHANNA INTERNATIONAL GROUP, LLP 401(K) PROFIT SHARING PLAN","SUSQUEHANNA INTERNATIONAL GROUP, LLP",818951175.00,0.00,818951175.00,100.00
20260730210143NAL0029408688001,NATIONAL ELECTRICAL ANNUITY PLAN,TRUSTEES OF THE NATIONAL ELECTRICAL ANNUITY PLAN,814031570.00,0.00,814031570.00,100.00
20251007172515NAL0005117393001,COMERICA INCORPORATED PREFERRED SAVINGS PLAN,COMERICA INCORPORATED,813954264.00,0.00,813954264.00,100.00
20260717090103NAL0007997618001,PENN STATE HEALTH 401(K) SAVINGS PLAN,PENN STATE HEALTH,813344195.00,0.00,813344195.00,100.00
20251008084025NAL0003132371001,CSX CORPORATION MASTER RETIREMENT SAVINGS PLAN & TRUST,CSX CORPORATION,809233120.00,0.00,809233120.00,100.00
20251014105114NAL0005497426001,"LIVE NATION ENTERTAINMENT, INC. 401(K) SAVINGS PLAN","LIVE NATION ENTERTAINMENT, INC.",989740207.00,182209216.00,807530991.00,82.00
20251014111557NAL0005580946001,"NOMURA SECURITIES INTERNATIONAL, INC. RETIREMENT INVESTMENT PLAN","NOMURA SECURITIES INTERNATIONAL, INC.",802263690.00,0.00,802263690.00,100.00
20251003145006NAL0000864563001,FIRST-CITIZENS BANK & TRUST COMPANY 401(K) PLAN,FIRST-CITIZENS BANK & TRUST COMPANY,799643628.00,0.00,799643628.00,100.00
20260427164405NAL0013754176001,ORACLE CORPORATION 401(K) SAVINGS AND INVESTMENT PLAN,ORACLE CORPORATION,4517225013.00,3719821000.00,797404013.00,18.00
20260713125145NAL0000162883001,"RAYMOND JAMES FINANCIAL, INC. 401(K) PLAN","RAYMOND JAMES FINANCIAL, INC.",796267105.00,0.00,796267105.00,100.00
20250926154135NAL0010291520001,"CHS/COMMUNITY HEALTH SYSTEMS, INC. MASTER TRUST INVESTMENT ACCOUNT","CHS/COMMUNITY HEALTH SYSTEMS, INC.",794367957.00,0.00,794367957.00,100.00
20250909141048NAL0020320033001,PRINCETON UNIVERSITY RETIREMENT PLAN,TRUSTEE'S OF PRINCETON UNIVERSITY,1951648454.00,1157350372.00,794298082.00,41.00
20251007075123NAL0004294145001,SYNOVUS 401(K) SAVINGS PLAN,SYNOVUS FINANCIAL CORP.,786886896.00,0.00,786886896.00,100.00
20250730143603NAL0002004899001,CARILION CLINIC 403(B) RETIREMENT SAVINGS PLAN,CARILION CLINIC,783752443.00,0.00,783752443.00,100.00
20250926133706NAL0004038627001,THE MITRE CORPORATION TAX SHELTERED ANNUITY PLAN,THE MITRE CORPORATION,4530224262.00,3749133749.00,781090513.00,17.00
20260716145432NAL0006562354001,"NAVISTAR, INC. MASTER TRUST","INTERNATIONAL MOTORS, LLC",778420852.00,0.00,778420852.00,100.00
20250924132044NAL0017172210001,THE PRUDENTIAL EMPLOYEE SAVINGS PLAN,THE PRUDENTIAL INSURANCE COMPANY OF AMERICA,1016585516.00,240014606.00,776570910.00,76.00
20260707132426NAL0033263458001,LEHIGH UNIVERSITY RETIREMENT PLAN,LEHIGH UNIVERSITY,775681052.00,0.00,775681052.00,100.00
20260629071114NAL0014106512001,TRUIST FINANCIAL CORPORATION 401(K) SAVINGS PLAN,TRUIST FINANCIAL CORPORATION,774730446.00,0.00,774730446.00,100.00
20251010104106NAL0007965633001,STATE FARM 401(K) SAVINGS PLAN,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,772771972.00,0.00,772771972.00,100.00
20251015124740NAL0002430851005,INVESTMENT & EMPLOYEE STOCK OWNERSHIP PLAN OF AVISTA,AVISTA CORPORATION,765706391.00,0.00,765706391.00,100.00
20260723160405NAL0011499923001,"POPULAR, INC. PR SAVINGS AND INVESTMENT PLAN SAVINGS AND INVESTMENT PLAN","POPULAR, INC.",765091992.00,0.00,765091992.00,100.00
