issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,sponsor_ein,plan_number,plan_year,sponsor,plan_name,maturity
,,,,•,,,29,3,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,•,,,29,7,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total assets held at end of year,,,,,"6,947,975,656",,40,40,20251008102359NAL0009553392001.pdf,20251008102359NAL0009553392001,23-1352685,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,11,7,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,16,1,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,16,6,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,16,8,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,16,10,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,16,12,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,5b(1) Name of plan(s),,,,18,2,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,18,3,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI,,,,18,4,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI,,,,18,6,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHI ABCDEFGHII,,,,18,8,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,32,4,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,32,8,20251008163343NAL0003432819001.pdf,20251008163343NAL0003432819001,13-4013710,1,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,16,7,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,21,6,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,21,8,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,21,10,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,21,12,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total Insurance Company General Account Contracts,,Insurance General Account,,,"2,483,083,477",,43,4,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total Pooled Separate Account,,Commingled Fund,,,"137,654,380",,43,7,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total Self-Directed Accounts,,,,,"294,626,228",,43,29,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total Participant Loan Fund,,Participant Loan,,,"22,863,260",,43,32,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total Investments,,,,,"$ 8,343,162,149",,43,33,20251009122116NAL0011444720001.pdf,20251009122116NAL0011444720001,06-0646973,162,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,52,7,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,60,3,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,,,,61,11,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,,,the information in the supplemental schedules related to assets held by and certified to by qualified,,,67,4,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total Group Annuity Contracts,,Group Annuity Contract,,,"421,102,406",,82,6,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
Total CREF Registered Investment Companies,,Mutual Fund,,,"1,160,281,589",,82,16,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,1,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,2,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,3,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,4,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,5,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,6,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,7,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,8,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,9,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,10,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,11,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
,,Mutual Fund,,,,,83,12,20251010091018NAL0017491794001.pdf,20251010091018NAL0017491794001,13-1624096,001,2024,"’s name (employer, if for a single-employer plan) 2b Employer Identification",1b Three-digit plan,
